Sort code,Jurisdiction,Drug class code,Drug class,Age group,Sex ," TPS
($ 000) ","Proportion 
of TPS (%)","Rate of 
use (%)",Number of active beneficiaries,Rank
3,Prince Edward Island,R03AL,"Adrenergics in combination with anticholinergics, including triple combinations with corticosteroids",65+,Total,55.78,0.3,0.5,137,58
3,Prince Edward Island,C03AA,"Thiazides, plain",65+,Total,55.44,0.3,13.8,"3,789",59
3,Prince Edward Island,L02BX,Other hormone antagonists and related agents,65+,Total,**, ** , ** ,**,60
3,Prince Edward Island,B01AB,Heparin group,65+,Total,51.54,0.3,0.6,173,61
3,Prince Edward Island,G04BD,Drugs for urinary frequency and incontinence,65+,Total,49.70,0.3,2.7,751,62
3,Prince Edward Island,A09AA,Enzyme preparations,65+,Total,49.18,0.3,0.2,65,63
3,Prince Edward Island,C10AC,Bile acid sequestrants,65+,Total,45.31,0.3,0.6,159,64
3,Prince Edward Island,L03AB,Interferons,65+,Total,**, ** , ** ,*,65
3,Prince Edward Island,D07AC,"Corticosteroids, potent (group III)",65+,Total,43.06,0.3,7.7,"2,128",66
3,Prince Edward Island,L04AC,Interleukin inhibitors,65+,Total,**, ** , ** ,*,67
3,Prince Edward Island,G04CB,Testosterone-5-alpha reductase inhibitors,65+,Total,40.75,0.2,2.4,654,68
3,Prince Edward Island,J05AB,"Nucleosides and nucleotides, excluding reverse transcriptase inhibitors",65+,Total,39.57,0.2,2.4,671,69
3,Prince Edward Island,L03AX,Other immunostimulants,65+,Total,39.28,0.2,0.0,5,70
3,Prince Edward Island,B02BX,Other systemic hemostatics,65+,Total,**, ** , ** ,*,71
3,Prince Edward Island,S01BA,"Corticosteroids, plain",65+,Total,34.05,0.2,5.7,"1,573",72
3,Prince Edward Island,M01AE,Propionic acid derivatives,65+,Total,33.53,0.2,5.7,"1,559",73
3,Prince Edward Island,L01BA,Folic acid analogues,65+,Total,32.03,0.2,1.3,345,74
3,Prince Edward Island,C08DA,Phenylalkylamine derivatives,65+,Total,31.55,0.2,0.7,205,75
3,Prince Edward Island,N02BE,Anilides,65+,Total,30.61,0.2,1.8,492,76
3,Prince Edward Island,J01CA,Penicillins with extended spectrum,65+,Total,28.23,0.2,12.6,"3,470",77
3,Prince Edward Island,C01AA,Digitalis glycosides,65+,Total,26.82,0.2,1.5,414,78
3,Prince Edward Island,J01AA,Tetracyclines,65+,Total,25.69,0.2,8.6,"2,358",79
3,Prince Edward Island,J01CR,"Combinations of penicillins, including beta-lactamase inhibitors",65+,Total,25.43,0.2,6.4,"1,749",80
3,Prince Edward Island,M01AB,Acetic acid derivatives and related substances,65+,Total,25.09,0.2,2.4,655,81
3,Prince Edward Island,N03AG,Fatty acid derivatives,65+,Total,25.02,0.2,0.6,153,82
3,Prince Edward Island,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,65+,Total,25.01,0.2,0.3,77,83
3,Prince Edward Island,C09DB,Angiotensin II antagonists and calcium channel blockers,65+,Total,24.01,0.1,0.5,124,84
3,Prince Edward Island,J01DB,First-generation cephalosporins,65+,Total,23.86,0.1,6.1,"1,675",85
3,Prince Edward Island,C02KX,Antihypertensives for pulmonary arterial hypertension,65+,Total,**, ** , ** ,*,86
3,Prince Edward Island,N05CF,Benzodiazepine-related drugs,65+,Total,23.72,0.1,1.5,424,87
3,Prince Edward Island,M04AA,Preparations inhibiting uric acid production,65+,Total,23.64,0.1,4.1,"1,119",88
3,Prince Edward Island,A03FA,Propulsives,65+,Total,23.52,0.1,3.2,886,89
3,Prince Edward Island,D06BB,Antivirals,65+,Total,23.11,0.1,0.8,229,90
3,Prince Edward Island,S01EC,Carbonic anhydrase inhibitors,65+,Total,21.58,0.1,0.8,225,91
3,Prince Edward Island,A06AB,Contact laxatives,65+,Total,20.43,0.1,1.5,406,92
3,Prince Edward Island,L01XX,Other antineoplastic agents,65+,Total,20.28,0.1,0.2,54,93
3,Prince Edward Island,J01FA,Macrolides,65+,Total,19.23,0.1,2.8,766,94
3,Prince Edward Island,A05AA,Bile acids and derivatives,65+,Total,19.21,0.1,0.1,22,95
3,Prince Edward Island,C05BA,Heparins or heparinoids for topical use,65+,Total,19.00,0.1,0.0,10,96
3,Prince Edward Island,C03DA,Aldosterone antagonists,65+,Total,18.51,0.1,2.1,570,97
3,Prince Edward Island,A10BH,Dipeptidyl peptidase-4 (DPP-4) inhibitors,65+,Total,18.32,0.1,0.1,25,98
3,Prince Edward Island,N03AE,Benzodiazepine derivatives,65+,Total,18.32,0.1,1.8,490,99
3,Prince Edward Island,A03AX,Other drugs for functional gastrointestinal disorders,65+,Total,17.88,0.1,0.5,145,100
3,Prince Edward Island,L04AX,Other immunosuppressants,65+,M,852.62,10.8,0.4,55,1
3,Prince Edward Island,L04AB,Tumour necrosis factor alpha (TNF-a) inhibitors,65+,M,602.24,7.6,0.3,34,2
3,Prince Edward Island,C10AA,HMG-CoA reductase inhibitors,65+,M,421.03,5.3,50.6,"6,378",3
3,Prince Edward Island,L02AE,Gonadotropin-releasing hormone analogues,65+,M,**, ** , ** ,**,4
3,Prince Edward Island,C09AA,"ACE inhibitors, plain",65+,M,294.74,3.7,26.9,"3,396",5
3,Prince Edward Island,L02BB,Antiandrogens,65+,M,201.07,2.5,0.8,105,6
3,Prince Edward Island,C08CA,Dihydropyridine derivatives,65+,M,199.94,2.5,20.0,"2,525",7
3,Prince Edward Island,A02BC,Proton pump inhibitors,65+,M,191.94,2.4,28.9,"3,650",8
3,Prince Edward Island,R03BB,Anticholinergics,65+,M,181.70,2.3,8.4,"1,054",9
3,Prince Edward Island,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excluding anticholinergics",65+,M,180.76,2.3,2.1,263,10
3,Prince Edward Island,S01LA,Antineovascularization agents,65+,M,**, ** , ** ,**,11
3,Prince Edward Island,L01XE,Protein kinase inhibitors,65+,M,169.74,2.1,0.1,15,12
3,Prince Edward Island,B01AF,Direct factor Xa inhibitors,65+,M,135.81,1.7,1.5,194,13
3,Prince Edward Island,A10AB,"Insulins and analogues for injection, fast-acting",65+,M,131.47,1.7,4.2,527,14
3,Prince Edward Island,C09CA,"Angiotensin II antagonists, plain",65+,M,128.14,1.6,14.2,"1,790",15
3,Prince Edward Island,A10AC,"Insulins and analogues for injection, intermediate-acting",65+,M,124.98,1.6,3.8,478,16
3,Prince Edward Island,R03BA,Glucocorticoids,65+,M,107.37,1.4,4.3,545,17
3,Prince Edward Island,C07AB,"Beta-blocking agents, selective",65+,M,99.06,1.3,26.2,"3,304",18
3,Prince Edward Island,N03AX,Other antiepileptics,65+,M,85.36,1.1,5.0,633,19
3,Prince Edward Island,A10BA,Biguanides,65+,M,77.49,1.0,17.6,"2,224",20
3,Prince Edward Island,A10AE,"Insulins and analogues for injection, long-acting",65+,M,77.36,1.0,1.5,183,21
3,Prince Edward Island,G04CA,Alpha-adrenoreceptor antagonists,65+,M,75.20,1.0,15.5,"1,958",22
3,Prince Edward Island,C09BA,ACE inhibitors and diuretics,65+,M,70.14,0.9,3.2,407,23
3,Prince Edward Island,N06AB,Selective serotonin reuptake inhibitors,65+,M,69.90,0.9,9.2,"1,160",24
3,Prince Edward Island,J07BB,Influenza vaccines,65+,M,67.20,0.8,43.7,"5,513",25
3,Prince Edward Island,S01EE,Prostaglandin analogues,65+,M,66.64,0.8,4.3,537,26
3,Prince Edward Island,C08DB,Benzothiazepine derivatives,65+,M,64.95,0.8,2.9,371,27
3,Prince Edward Island,A10BB,Sulfonylureas,65+,M,58.36,0.7,9.1,"1,154",28
3,Prince Edward Island,C01DA,Organic nitrates,65+,M,58.02,0.7,4.8,604,29
3,Prince Edward Island,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",65+,M,57.77,0.7,0.9,111,30
3,Prince Edward Island,N02AA,Natural opium alkaloids,65+,M,56.53,0.7,5.5,698,31
3,Prince Edward Island,S01ED,Beta-blocking agents,65+,M,52.32,0.7,3.5,446,32
3,Prince Edward Island,L02BX,Other hormone antagonists and related agents,65+,M,**, ** , ** ,**,33
3,Prince Edward Island,B01AC,"Platelet aggregation inhibitors, excluding heparin",65+,M,49.73,0.6,5.3,674,34
3,Prince Edward Island,R01AD,Corticosteroids,65+,M,48.00,0.6,11.7,"1,481",35
3,Prince Edward Island,R03AC,Selective beta-2-adrenoreceptor agonists,65+,M,45.98,0.6,13.0,"1,641",36
3,Prince Edward Island,A07EC,Aminosalicylic acid and similar agents,65+,M,45.42,0.6,0.7,94,37
3,Prince Edward Island,N06AX,Other antidepressants,65+,M,44.05,0.6,6.9,874,38
3,Prince Edward Island,C09DA,Angiotensin II antagonists and diuretics,65+,M,43.44,0.5,4.2,531,39
3,Prince Edward Island,A02BA,H2-receptor antagonists,65+,M,43.11,0.5,5.6,708,40
3,Prince Edward Island,G04CB,Testosterone-5-alpha reductase inhibitors,65+,M,40.75,0.5,5.2,654,41
3,Prince Edward Island,B01AA,Vitamin K antagonists,65+,M,40.57,0.5,7.1,901,42
3,Prince Edward Island,H03AA,Thyroid hormones,65+,M,37.97,0.5,12.8,"1,617",43
3,Prince Edward Island,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",65+,M,36.88,0.5,0.7,89,44
3,Prince Edward Island,C07AG,Alpha- and beta-blocking agents,65+,M,35.49,0.4,1.3,159,45
3,Prince Edward Island,N06DA,Anticholinesterases,65+,M,34.86,0.4,1.4,181,46
3,Prince Edward Island,B01AE,Direct thrombin inhibitors,65+,M,34.53,0.4,0.3,42,47
3,Prince Edward Island,C03CA,"Sulfonamides, plain",65+,M,33.32,0.4,9.5,"1,197",48
3,Prince Edward Island,N04BA,Dopa and dopa derivatives,65+,M,31.92,0.4,1.2,153,49
3,Prince Edward Island,B01AB,Heparin group,65+,M,30.18,0.4,0.7,86,50
3,Prince Edward Island,C07AA,"Beta-blocking agents, non-selective",65+,M,29.48,0.4,1.9,241,51
3,Prince Edward Island,L04AC,Interleukin inhibitors,65+,M,**, ** , ** ,*,52
3,Prince Edward Island,N02AJ,Opioids in combination with non-opioid analgesics,65+,M,27.96,0.4,10.0,"1,259",53
3,Prince Edward Island,H02AB,Glucocorticoids,65+,M,27.89,0.4,13.6,"1,715",54
3,Prince Edward Island,R03AL,"Adrenergics in combination with anticholinergics, including triple combinations with corticosteroids",65+,M,27.86,0.4,0.5,61,55
3,Prince Edward Island,N06AA,Non-selective monoamine reuptake inhibitors,65+,M,27.19,0.3,3.9,486,56
3,Prince Edward Island,N05AX,Other antipsychotics,65+,M,26.44,0.3,0.9,119,57
3,Prince Edward Island,N05BA,Benzodiazepine derivatives,65+,M,23.86,0.3,6.9,865,58
3,Prince Edward Island,D07AC,"Corticosteroids, potent (group III)",65+,M,22.31,0.3,8.0,"1,010",59
3,Prince Edward Island,A09AA,Enzyme preparations,65+,M,22.08,0.3,0.2,30,60
3,Prince Edward Island,C03AA,"Thiazides, plain",65+,M,18.64,0.2,10.8,"1,359",61
3,Prince Edward Island,J05AB,"Nucleosides and nucleotides, excluding reverse transcriptase inhibitors",65+,M,18.61,0.2,2.0,257,62
3,Prince Edward Island,M01AE,Propionic acid derivatives,65+,M,14.92,0.2,5.6,704,63
3,Prince Edward Island,C09DB,Angiotensin II antagonists and calcium channel blockers,65+,M,14.56,0.2,0.5,69,64
3,Prince Edward Island,C10AC,Bile acid sequestrants,65+,M,14.05,0.2,0.5,63,65
3,Prince Edward Island,L04AA,Selective immunosuppressants,65+,M,13.81,0.2,0.1,8,66
3,Prince Edward Island,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,65+,M,13.22,0.2,0.4,48,67
3,Prince Edward Island,M04AA,Preparations inhibiting uric acid production,65+,M,13.03,0.2,5.9,740,68
3,Prince Edward Island,C01AA,Digitalis glycosides,65+,M,12.81,0.2,1.8,222,69
3,Prince Edward Island,J01AA,Tetracyclines,65+,M,12.79,0.2,8.8,"1,108",70
3,Prince Edward Island,G04BD,Drugs for urinary frequency and incontinence,65+,M,12.54,0.2,1.6,207,71
3,Prince Edward Island,N03AG,Fatty acid derivatives,65+,M,12.32,0.2,0.6,76,72
3,Prince Edward Island,M01AB,Acetic acid derivatives and related substances,65+,M,12.28,0.2,2.9,364,73
3,Prince Edward Island,J01CA,Penicillins with extended spectrum,65+,M,12.21,0.2,11.9,"1,503",74
3,Prince Edward Island,L01BA,Folic acid analogues,65+,M,12.20,0.2,1.0,121,75
3,Prince Edward Island,S01BA,"Corticosteroids, plain",65+,M,12.06,0.2,4.9,619,76
3,Prince Edward Island,J01DB,First-generation cephalosporins,65+,M,11.43,0.1,6.6,829,77
3,Prince Edward Island,C08DA,Phenylalkylamine derivatives,65+,M,11.16,0.1,0.6,76,78
3,Prince Edward Island,L01XX,Other antineoplastic agents,65+,M,10.29,0.1,0.2,20,79
3,Prince Edward Island,J01CR,"Combinations of penicillins, including beta-lactamase inhibitors",65+,M,10.03,0.1,5.8,730,80
3,Prince Edward Island,C10AX,Other lipid-modifying agents,65+,M,9.53,0.1,1.2,154,81
3,Prince Edward Island,N05CF,Benzodiazepine-related drugs,65+,M,8.88,0.1,1.3,169,82
3,Prince Edward Island,N02BE,Anilides,65+,M,8.43,0.1,1.1,137,83
3,Prince Edward Island,S01EC,Carbonic anhydrase inhibitors,65+,M,8.34,0.1,0.7,89,84
3,Prince Edward Island,A03FA,Propulsives,65+,M,8.27,0.1,2.4,304,85
3,Prince Edward Island,D06BB,Antivirals,65+,M,8.19,0.1,0.6,77,86
3,Prince Edward Island,C01BD,"Antiarrhythmics, class III",65+,M,8.14,0.1,0.6,80,87
3,Prince Edward Island,M05BA,Bisphosphonates,65+,M,7.78,0.1,1.3,162,88
3,Prince Edward Island,C03DA,Aldosterone antagonists,65+,M,7.66,0.1,2.2,282,89
3,Prince Edward Island,A06AB,Contact laxatives,65+,M,7.48,0.1,1.0,126,90
3,Prince Edward Island,C10AB,Fibrates,65+,M,7.42,0.1,0.7,90,91
3,Prince Edward Island,N03AE,Benzodiazepine derivatives,65+,M,7.33,0.1,1.5,190,92
3,Prince Edward Island,L04AD,Calcineurin inhibitors,65+,M,**, ** , ** ,**,93
3,Prince Edward Island,L01BC,Pyrimidine analogues,65+,M,7.21,0.1,0.9,117,94
3,Prince Edward Island,J01FA,Macrolides,65+,M,7.11,0.1,2.3,294,95
3,Prince Edward Island,N03AB,Hydantoin derivatives,65+,M,6.61,0.1,0.8,97,96
3,Prince Edward Island,A06AD,Osmotically acting laxatives,65+,M,6.59,0.1,0.5,64,97
3,Prince Edward Island,D07AA,"Corticosteroids, weak (group I)",65+,M,6.41,0.1,3.1,394,98
3,Prince Edward Island,A10BH,Dipeptidyl peptidase-4 (DPP-4) inhibitors,65+,M,6.20,0.1,0.1,10,99
3,Prince Edward Island,D07XC,"Corticosteroids, potent, other combinations",65+,M,5.99,0.1,0.4,48,100
3,Prince Edward Island,L04AB,Tumour necrosis factor alpha (TNF-a) inhibitors,65+,F,562.79,6.6,0.3,52,1
3,Prince Edward Island,S01LA,Antineovascularization agents,65+,F,**, ** , ** ,**,2
3,Prince Edward Island,L04AX,Other immunosuppressants,65+,F,393.77,4.6,0.4,53,3
3,Prince Edward Island,C10AA,HMG-CoA reductase inhibitors,65+,F,373.07,4.4,35.7,"5,312",4
3,Prince Edward Island,C09AA,"ACE inhibitors, plain",65+,F,276.10,3.2,19.9,"2,963",5
3,Prince Edward Island,A02BC,Proton pump inhibitors,65+,F,275.45,3.2,32.2,"4,793",6
3,Prince Edward Island,C08CA,Dihydropyridine derivatives,65+,F,243.21,2.9,18.7,"2,782",7
3,Prince Edward Island,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excluding anticholinergics",65+,F,237.04,2.8,2.2,322,8
3,Prince Edward Island,R03BB,Anticholinergics,65+,F,189.63,2.2,7.1,"1,060",9
3,Prince Edward Island,C09CA,"Angiotensin II antagonists, plain",65+,F,182.49,2.1,16.3,"2,422",10
3,Prince Edward Island,R03BA,Glucocorticoids,65+,F,173.56,2.0,5.8,859,11
3,Prince Edward Island,N06AB,Selective serotonin reuptake inhibitors,65+,F,137.24,1.6,14.4,"2,142",12
3,Prince Edward Island,L04AA,Selective immunosuppressants,65+,F,123.67,1.5,0.2,23,13
3,Prince Edward Island,B01AF,Direct factor Xa inhibitors,65+,F,121.70,1.4,1.3,196,14
3,Prince Edward Island,H03AA,Thyroid hormones,65+,F,120.58,1.4,30.8,"4,585",15
3,Prince Edward Island,S01EE,Prostaglandin analogues,65+,F,119.98,1.4,6.0,894,16
3,Prince Edward Island,C07AB,"Beta-blocking agents, selective",65+,F,117.66,1.4,21.6,"3,211",17
3,Prince Edward Island,N03AX,Other antiepileptics,65+,F,115.01,1.3,6.3,937,18
3,Prince Edward Island,A10AC,"Insulins and analogues for injection, intermediate-acting",65+,F,108.36,1.3,2.6,383,19
3,Prince Edward Island,A10AB,"Insulins and analogues for injection, fast-acting",65+,F,108.18,1.3,2.6,382,20
3,Prince Edward Island,G03CA,"Natural and semisynthetic estrogens, plain",65+,F,101.95,1.2,7.9,"1,175",21
3,Prince Edward Island,C08DB,Benzothiazepine derivatives,65+,F,95.78,1.1,3.8,561,22
3,Prince Edward Island,S01ED,Beta-blocking agents,65+,F,89.69,1.1,4.5,676,23
3,Prince Edward Island,N06AX,Other antidepressants,65+,F,88.39,1.0,10.5,"1,566",24
3,Prince Edward Island,J07BB,Influenza vaccines,65+,F,80.22,0.9,44.2,"6,574",25
3,Prince Edward Island,N06DA,Anticholinesterases,65+,F,77.71,0.9,2.3,347,26
3,Prince Edward Island,R01AD,Corticosteroids,65+,F,69.49,0.8,14.2,"2,111",27
3,Prince Edward Island,C01DA,Organic nitrates,65+,F,67.99,0.8,3.9,580,28
3,Prince Edward Island,A07EC,Aminosalicylic acid and similar agents,65+,F,65.32,0.8,0.9,136,29
3,Prince Edward Island,N06AA,Non-selective monoamine reuptake inhibitors,65+,F,65.27,0.8,7.5,"1,113",30
3,Prince Edward Island,N02AA,Natural opium alkaloids,65+,F,65.04,0.8,6.2,923,31
3,Prince Edward Island,L02BG,Aromatase inhibitors,65+,F,62.81,0.7,1.5,216,32
3,Prince Edward Island,A02BA,H2-receptor antagonists,65+,F,62.15,0.7,6.6,975,33
3,Prince Edward Island,A10AE,"Insulins and analogues for injection, long-acting",65+,F,60.59,0.7,1.0,154,34
3,Prince Edward Island,A10BA,Biguanides,65+,F,59.87,0.7,11.3,"1,678",35
3,Prince Edward Island,B01AC,"Platelet aggregation inhibitors, excluding heparin",65+,F,58.91,0.7,4.8,721,36
3,Prince Edward Island,C09BA,ACE inhibitors and diuretics,65+,F,57.13,0.7,2.4,359,37
3,Prince Edward Island,R03AC,Selective beta-2-adrenoreceptor agonists,65+,F,55.63,0.7,14.8,"2,196",38
3,Prince Edward Island,C09DA,Angiotensin II antagonists and diuretics,65+,F,53.16,0.6,4.5,677,39
3,Prince Edward Island,M05BA,Bisphosphonates,65+,F,50.04,0.6,7.1,"1,056",40
3,Prince Edward Island,C03CA,"Sulfonamides, plain",65+,F,48.05,0.6,10.4,"1,550",41
3,Prince Edward Island,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",65+,F,46.62,0.5,0.7,105,42
3,Prince Edward Island,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",65+,F,46.49,0.5,1.0,148,43
3,Prince Edward Island,C07AA,"Beta-blocking agents, non-selective",65+,F,46.15,0.5,2.3,347,44
3,Prince Edward Island,L03AB,Interferons,65+,F,**, ** , ** ,*,45
3,Prince Edward Island,A10BB,Sulfonylureas,65+,F,44.43,0.5,5.3,782,46
3,Prince Edward Island,N04BA,Dopa and dopa derivatives,65+,F,44.26,0.5,1.3,200,47
3,Prince Edward Island,N05BA,Benzodiazepine derivatives,65+,F,43.92,0.5,11.4,"1,696",48
3,Prince Edward Island,L01XE,Protein kinase inhibitors,65+,F,39.32,0.5,0.1,12,49
3,Prince Edward Island,L03AX,Other immunostimulants,65+,F,39.28,0.5,0.0,5,50
3,Prince Edward Island,H02AB,Glucocorticoids,65+,F,37.40,0.4,14.6,"2,173",51
3,Prince Edward Island,G04BD,Drugs for urinary frequency and incontinence,65+,F,37.16,0.4,3.7,544,52
3,Prince Edward Island,N05AX,Other antipsychotics,65+,F,37.07,0.4,1.4,204,53
3,Prince Edward Island,C03AA,"Thiazides, plain",65+,F,36.80,0.4,16.3,"2,430",54
3,Prince Edward Island,B01AA,Vitamin K antagonists,65+,F,35.30,0.4,5.2,771,55
3,Prince Edward Island,B02BX,Other systemic hemostatics,65+,F,**, ** , ** ,*,56
3,Prince Edward Island,C10AC,Bile acid sequestrants,65+,F,31.25,0.4,0.6,96,57
3,Prince Edward Island,N02AJ,Opioids in combination with non-opioid analgesics,65+,F,28.61,0.3,9.2,"1,363",58
3,Prince Edward Island,R03AL,"Adrenergics in combination with anticholinergics, including triple combinations with corticosteroids",65+,F,27.91,0.3,0.5,76,59
3,Prince Edward Island,A09AA,Enzyme preparations,65+,F,27.10,0.3,0.2,35,60
3,Prince Edward Island,C07AG,Alpha- and beta-blocking agents,65+,F,25.08,0.3,0.8,124,61
3,Prince Edward Island,B01AE,Direct thrombin inhibitors,65+,F,25.08,0.3,0.2,33,62
3,Prince Edward Island,C02KX,Antihypertensives for pulmonary arterial hypertension,65+,F,**, ** , ** ,*,63
3,Prince Edward Island,N02BE,Anilides,65+,F,22.18,0.3,2.4,355,64
3,Prince Edward Island,S01BA,"Corticosteroids, plain",65+,F,21.99,0.3,6.4,954,65
3,Prince Edward Island,B01AB,Heparin group,65+,F,21.36,0.3,0.6,87,66
3,Prince Edward Island,J05AB,"Nucleosides and nucleotides, excluding reverse transcriptase inhibitors",65+,F,20.96,0.2,2.8,414,67
3,Prince Edward Island,D07AC,"Corticosteroids, potent (group III)",65+,F,20.75,0.2,7.5,"1,118",68
3,Prince Edward Island,C08DA,Phenylalkylamine derivatives,65+,F,20.39,0.2,0.9,129,69
3,Prince Edward Island,L01BA,Folic acid analogues,65+,F,19.83,0.2,1.5,224,70
3,Prince Edward Island,M01AE,Propionic acid derivatives,65+,F,18.61,0.2,5.7,855,71
3,Prince Edward Island,C05BA,Heparins or heparinoids for topical use,65+,F,18.44,0.2,0.1,9,72
3,Prince Edward Island,A03AX,Other drugs for functional gastrointestinal disorders,65+,F,16.90,0.2,0.8,122,73
3,Prince Edward Island,A05AA,Bile acids and derivatives,65+,F,16.50,0.2,0.1,18,74
3,Prince Edward Island,J01CA,Penicillins with extended spectrum,65+,F,16.02,0.2,13.2,"1,967",75
3,Prince Edward Island,J01XE,Nitrofuran derivatives,65+,F,15.70,0.2,8.0,"1,194",76
3,Prince Edward Island,J01CR,"Combinations of penicillins, including beta-lactamase inhibitors",65+,F,15.40,0.2,6.8,"1,019",77
3,Prince Edward Island,A03FA,Propulsives,65+,F,15.25,0.2,3.9,582,78
3,Prince Edward Island,D06BB,Antivirals,65+,F,14.91,0.2,1.0,152,79
3,Prince Edward Island,N05CF,Benzodiazepine-related drugs,65+,F,14.84,0.2,1.7,255,80
3,Prince Edward Island,L04AC,Interleukin inhibitors,65+,F,**, ** , ** ,*,81
3,Prince Edward Island,C01AA,Digitalis glycosides,65+,F,14.02,0.2,1.3,192,82
3,Prince Edward Island,S01EC,Carbonic anhydrase inhibitors,65+,F,13.25,0.2,0.9,136,83
3,Prince Edward Island,A06AB,Contact laxatives,65+,F,12.95,0.2,1.9,280,84
3,Prince Edward Island,J01AA,Tetracyclines,65+,F,12.90,0.2,8.4,"1,250",85
3,Prince Edward Island,M01AB,Acetic acid derivatives and related substances,65+,F,12.81,0.2,2.0,291,86
3,Prince Edward Island,N03AG,Fatty acid derivatives,65+,F,12.69,0.1,0.5,77,87
3,Prince Edward Island,L03AA,Colony-stimulating factors,65+,F,12.54,0.1,0.0,6,88
3,Prince Edward Island,J01DB,First-generation cephalosporins,65+,F,12.44,0.1,5.7,846,89
3,Prince Edward Island,A10BH,Dipeptidyl peptidase-4 (DPP-4) inhibitors,65+,F,12.12,0.1,0.1,15,90
3,Prince Edward Island,J01FA,Macrolides,65+,F,12.12,0.1,3.2,472,91
3,Prince Edward Island,A03AA,"Synthetic anticholinergics, esters with tertiary amino group",65+,F,12.01,0.1,0.6,95,92
3,Prince Edward Island,L01XC,Monoclonal antibodies,65+,F,**, ** , ** ,*,93
3,Prince Edward Island,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,65+,F,11.79,0.1,0.2,29,94
3,Prince Edward Island,N03AE,Benzodiazepine derivatives,65+,F,10.99,0.1,2.0,300,95
3,Prince Edward Island,C03DA,Aldosterone antagonists,65+,F,10.85,0.1,1.9,288,96
3,Prince Edward Island,M04AA,Preparations inhibiting uric acid production,65+,F,10.61,0.1,2.5,379,97
3,Prince Edward Island,N05CD,Benzodiazepine derivatives,65+,F,10.38,0.1,2.1,310,98
3,Prince Edward Island,D07AA,"Corticosteroids, weak (group I)",65+,F,10.32,0.1,4.4,662,99
3,Prince Edward Island,L01XX,Other antineoplastic agents,65+,F,9.98,0.1,0.2,34,100
3,Prince Edward Island,L04AB,Tumour necrosis factor alpha (TNF-a) inhibitors,<65,Total,"2,879.63",20.6,0.9,251,1
3,Prince Edward Island,N07BC,Drugs used in opioid dependence,<65,Total,"1,320.83",9.5,2.8,803,2
3,Prince Edward Island,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",<65,Total,582.50,4.2,3.2,905,3
3,Prince Edward Island,N05AX,Other antipsychotics,<65,Total,524.00,3.8,1.7,488,4
3,Prince Edward Island,N06AB,Selective serotonin reuptake inhibitors,<65,Total,390.82,2.8,10.5,"2,956",5
3,Prince Edward Island,L01XE,Protein kinase inhibitors,<65,Total,366.09,2.6,0.1,21,6
3,Prince Edward Island,L04AA,Selective immunosuppressants,<65,Total,341.36,2.4,0.1,38,7
3,Prince Edward Island,A10AB,"Insulins and analogues for injection, fast-acting",<65,Total,304.40,2.2,4.9,"1,380",8
3,Prince Edward Island,N02AA,Natural opium alkaloids,<65,Total,302.57,2.2,1.9,530,9
3,Prince Edward Island,N03AX,Other antiepileptics,<65,Total,295.52,2.1,3.6,"1,010",10
3,Prince Edward Island,N06BA,Centrally acting sympathomimetics,<65,Total,281.69,2.0,1.8,507,11
3,Prince Edward Island,A02BC,Proton pump inhibitors,<65,Total,258.11,1.8,10.3,"2,913",12
3,Prince Edward Island,N06AX,Other antidepressants,<65,Total,228.37,1.6,6.6,"1,866",13
3,Prince Edward Island,L04AX,Other immunosuppressants,<65,Total,225.51,1.6,0.2,69,14
3,Prince Edward Island,L04AC,Interleukin inhibitors,<65,Total,**, ** , ** ,**,15
3,Prince Edward Island,L03AB,Interferons,<65,Total,**, ** , ** ,**,16
3,Prince Edward Island,C10AA,HMG-CoA reductase inhibitors,<65,Total,200.28,1.4,7.6,"2,143",17
3,Prince Edward Island,A10AC,"Insulins and analogues for injection, intermediate-acting",<65,Total,180.39,1.3,2.2,633,18
3,Prince Edward Island,R03BA,Glucocorticoids,<65,Total,171.15,1.2,2.4,664,19
3,Prince Edward Island,J07BB,Influenza vaccines,<65,Total,163.54,1.2,47.7,"13,448",20
3,Prince Edward Island,A10AE,"Insulins and analogues for injection, long-acting",<65,Total,152.93,1.1,1.4,390,21
3,Prince Edward Island,N05BA,Benzodiazepine derivatives,<65,Total,129.70,0.9,3.3,925,22
3,Prince Edward Island,N05CF,Benzodiazepine-related drugs,<65,Total,113.96,0.8,2.2,621,23
3,Prince Edward Island,L03AX,Other immunostimulants,<65,Total,113.20,0.8,0.1,18,24
3,Prince Edward Island,A10BA,Biguanides,<65,Total,102.50,0.7,10.0,"2,824",25
3,Prince Edward Island,C09AA,"ACE inhibitors, plain",<65,Total,102.12,0.7,4.6,"1,287",26
