Year,Forecast Category,Province,Sector,Use of Funds,Current dollars,Current dollars per capita,Constant 1997 dollars,Constant 1997 dollars per capita
1992,..,British Columbia,Provincial Government,Sub-Total,5848992443,1686,,
1993,..,British Columbia,Provincial Government,Sub-Total,6188019531,1734,,
1994,..,British Columbia,Provincial Government,Sub-Total,6477330996,1762,,
1995,..,British Columbia,Provincial Government,Sub-Total,6748860752,1787,,
1996,..,British Columbia,Provincial Government,Sub-Total,6912945635,1784,,
1997,..,British Columbia,Provincial Government,Sub-Total,7186240469,1820,,
1998,..,British Columbia,Provincial Government,Sub-Total,7581857549,1904,,
1999,..,British Columbia,Provincial Government,Sub-Total,8100468990,2019,,
2000,..,British Columbia,Provincial Government,Sub-Total,8772481693,2172,,
2001,..,British Columbia,Provincial Government,Sub-Total,9727727677,2386,,
2002,..,British Columbia,Provincial Government,Sub-Total,10363978707,2527,,
2003,..,British Columbia,Provincial Government,Sub-Total,10701035379,2595,,
2004,..,British Columbia,Provincial Government,Sub-Total,10872564451,2616,,
2005,..,British Columbia,Provincial Government,Sub-Total,11381292010,2712,,
2006,..,British Columbia,Provincial Government,Sub-Total,11999703750,2829,,
2007,..,British Columbia,Provincial Government,Sub-Total,12767023774,2975,,
2008,..,British Columbia,Provincial Government,Sub-Total,13633265380,3135,,
2009,..,British Columbia,Provincial Government,Sub-Total,14238577096,3228,,
2010,..,British Columbia,Provincial Government,Sub-Total,14883880311,3333,,
2011,..,British Columbia,Provincial Government,Sub-Total,15582593206,3461,,
2012,..,British Columbia,Provincial Government,Sub-Total,16036093221,3511,,
2013,..,British Columbia,Provincial Government,Sub-Total,16481773444,3560,,
2014,..,British Columbia,Provincial Government,Sub-Total,17005840081,3613,,
2015,..,British Columbia,Provincial Government,Sub-Total,17584501001,3682,,
2016,..,British Columbia,Provincial Government,Sub-Total,18276235000,3761,,
2017,..,British Columbia,Provincial Government,Sub-Total,19037213875,3862,,
2018,..,British Columbia,Provincial Government,Sub-Total,19880098858,3968,,
2019,..,British Columbia,Provincial Government,Sub-Total,21087163122,4142,,
2020,f,British Columbia,Provincial Government,Sub-Total,23567523639,4578,,
2021,f,British Columbia,Provincial Government,Sub-Total,25014596397,4810,,
1975,..,British Columbia,Provincial Government,Capital,21515500,9,,
1976,..,British Columbia,Provincial Government,Capital,13138250,5,,
1977,..,British Columbia,Provincial Government,Capital,6053500,2,,
1978,..,British Columbia,Provincial Government,Capital,30947250,12,,
1979,..,British Columbia,Provincial Government,Capital,36334750,14,,
1980,..,British Columbia,Provincial Government,Capital,47790750,17,,
1981,..,British Columbia,Provincial Government,Capital,66743250,24,,
1982,..,British Columbia,Provincial Government,Capital,78136750,27,,
1983,..,British Columbia,Provincial Government,Capital,89544000,31,,
1984,..,British Columbia,Provincial Government,Capital,103024250,35,,
1985,..,British Columbia,Provincial Government,Capital,111523250,37,,
1986,..,British Columbia,Provincial Government,Capital,111716099,37,,
1987,..,British Columbia,Provincial Government,Capital,118021584,39,,
1988,..,British Columbia,Provincial Government,Capital,145461783,47,,
1989,..,British Columbia,Provincial Government,Capital,194745223,61,,
1990,..,British Columbia,Provincial Government,Capital,227866242,69,,
1991,..,British Columbia,Provincial Government,Capital,208727746,62,,
1992,..,British Columbia,Provincial Government,Capital,211752786,61,,
1993,..,British Columbia,Provincial Government,Capital,236112317,66,,
1994,..,British Columbia,Provincial Government,Capital,263533019,72,,
1995,..,British Columbia,Provincial Government,Capital,258201109,68,,
1996,..,British Columbia,Provincial Government,Capital,273125824,70,,
1997,..,British Columbia,Provincial Government,Capital,248703231,63,,
1998,..,British Columbia,Provincial Government,Capital,176500000,44,,
1999,..,British Columbia,Provincial Government,Capital,290300000,72,,
2000,..,British Columbia,Provincial Government,Capital,392300000,97,,
2001,..,British Columbia,Provincial Government,Capital,390700000,96,,
2002,..,British Columbia,Provincial Government,Capital,399600000,97,,
2003,..,British Columbia,Provincial Government,Capital,484500000,117,,
2004,..,British Columbia,Provincial Government,Capital,561900000,135,,
2005,..,British Columbia,Provincial Government,Capital,787600000,188,,
2006,..,British Columbia,Provincial Government,Capital,690300000,163,,
2007,..,British Columbia,Provincial Government,Capital,873200000,203,,
2008,..,British Columbia,Provincial Government,Capital,897900000,206,,
2009,..,British Columbia,Provincial Government,Capital,927900000,210,,
2010,..,British Columbia,Provincial Government,Capital,1031650000,231,,
2011,..,British Columbia,Provincial Government,Capital,911526065,202,,
2012,..,British Columbia,Provincial Government,Capital,1015892632,222,,
2013,..,British Columbia,Provincial Government,Capital,757475204,164,,
2014,..,British Columbia,Provincial Government,Capital,823447060,175,,
2015,..,British Columbia,Provincial Government,Capital,909484164,190,,
2016,..,British Columbia,Provincial Government,Capital,1002208633,206,,
2017,..,British Columbia,Provincial Government,Capital,894829662,182,,
2018,..,British Columbia,Provincial Government,Capital,845688514,169,,
2019,..,British Columbia,Provincial Government,Capital,839151847,165,,
2020,f,British Columbia,Provincial Government,Capital,1149373510,223,,
2021,f,British Columbia,Provincial Government,Capital,1424189823,274,,
1975,..,British Columbia,Provincial Government,Total,928182500,371,3256719443,1303
1976,..,British Columbia,Provincial Government,Total,1082702500,427,3382222633,1335
1977,..,British Columbia,Provincial Government,Total,1193111000,464,3449793771,1342
1978,..,British Columbia,Provincial Government,Total,1363825750,522,3733097808,1427
1979,..,British Columbia,Provincial Government,Total,1556459500,584,3857370814,1447
1980,..,British Columbia,Provincial Government,Total,1932330000,704,4245286276,1546
1981,..,British Columbia,Provincial Government,Total,2374798250,840,4709758246,1666
1982,..,British Columbia,Provincial Government,Total,2720316750,946,4771114303,1659
1983,..,British Columbia,Provincial Government,Total,2932230000,1009,4904689088,1687
1984,..,British Columbia,Provincial Government,Total,3074847000,1043,5034214306,1708
1985,..,British Columbia,Provincial Government,Total,3200614500,1076,5217914851,1754
1986,..,British Columbia,Provincial Government,Total,3443256000,1146,5378471989,1791
1987,..,British Columbia,Provincial Government,Total,3660792250,1201,5490934959,1801
1988,..,British Columbia,Provincial Government,Total,3978277689,1277,5776109453,1854
1989,..,British Columbia,Provincial Government,Total,4455928853,1394,6065881853,1898
1990,..,British Columbia,Provincial Government,Total,5043609472,1532,6443036785,1957
1991,..,British Columbia,Provincial Government,Total,5578253207,1653,6768158226,2006
1992,..,British Columbia,Provincial Government,Total,6060745229,1747,6988868603,2015
1993,..,British Columbia,Provincial Government,Total,6424131848,1801,7259103510,2035
1994,..,British Columbia,Provincial Government,Total,6740864015,1834,7297048215,1985
1995,..,British Columbia,Provincial Government,Total,7007061861,1855,7254831000,1921
1996,..,British Columbia,Provincial Government,Total,7186071458,1855,7302828081,1885
1997,..,British Columbia,Provincial Government,Total,7434943701,1883,7434943701,1883
1998,..,British Columbia,Provincial Government,Total,7758357549,1948,7606346941,1910
1999,..,British Columbia,Provincial Government,Total,8390768990,2092,8103600950,2020
2000,..,British Columbia,Provincial Government,Total,9164781693,2269,8507455002,2106
2001,..,British Columbia,Provincial Government,Total,10118427677,2482,9144227635,2243
2002,..,British Columbia,Provincial Government,Total,10763578707,2625,9445059714,2303
2003,..,British Columbia,Provincial Government,Total,11185535379,2712,9646313162,2339
2004,..,British Columbia,Provincial Government,Total,11434464451,2752,9701527983,2335
2005,..,British Columbia,Provincial Government,Total,12168892010,2900,10139735372,2416
2006,..,British Columbia,Provincial Government,Total,12690003750,2992,9997173054,2357
2007,..,British Columbia,Provincial Government,Total,13640223774,3179,10653788848,2483
2008,..,British Columbia,Provincial Government,Total,14531165380,3341,10943040844,2516
2009,..,British Columbia,Provincial Government,Total,15166477096,3439,11137156207,2525
2010,..,British Columbia,Provincial Government,Total,15915530311,3564,11582629970,2594
2011,..,British Columbia,Provincial Government,Total,16494119271,3664,11851359504,2632
2012,..,British Columbia,Provincial Government,Total,17051985853,3734,12079639900,2645
2013,..,British Columbia,Provincial Government,Total,17239248647,3723,11865516930,2563
2014,..,British Columbia,Provincial Government,Total,17829287141,3788,11926963280,2534
2015,..,British Columbia,Provincial Government,Total,18493985165,3872,12292509968,2574
2016,..,British Columbia,Provincial Government,Total,19278443634,3967,12721277526,2618
2017,..,British Columbia,Provincial Government,Total,19932043537,4044,12866677069,2610
2018,..,British Columbia,Provincial Government,Total,20725787372,4136,13092362712,2613
2019,..,British Columbia,Provincial Government,Total,21926314969,4307,13558868089,2663
2020,f,British Columbia,Provincial Government,Total,24716897149,4802,14637302355,2843
2021,f,British Columbia,Provincial Government,Total,26438786220,5084,15419713638,2965
1975,..,Yukon,Territorial Government,Hospitals,2309500,105,,
1976,..,Yukon,Territorial Government,Hospitals,4382750,195,,
1977,..,Yukon,Territorial Government,Hospitals,5323750,237,,
1978,..,Yukon,Territorial Government,Hospitals,6016000,260,,
1979,..,Yukon,Territorial Government,Hospitals,6369750,277,,
1980,..,Yukon,Territorial Government,Hospitals,6994750,304,,
1981,..,Yukon,Territorial Government,Hospitals,7324750,307,,
1982,..,Yukon,Territorial Government,Hospitals,13750500,557,,
1983,..,Yukon,Territorial Government,Hospitals,12769000,540,,
1984,..,Yukon,Territorial Government,Hospitals,11251500,470,,
1985,..,Yukon,Territorial Government,Hospitals,11914803,489,,
1986,..,Yukon,Territorial Government,Hospitals,12537101,513,,
1987,..,Yukon,Territorial Government,Hospitals,12980000,505,,
1988,..,Yukon,Territorial Government,Hospitals,14820000,556,,
1989,..,Yukon,Territorial Government,Hospitals,15826000,583,,
1990,..,Yukon,Territorial Government,Hospitals,16680000,597,,
1991,..,Yukon,Territorial Government,Hospitals,18137250,628,,
1992,..,Yukon,Territorial Government,Hospitals,19453033,647,,
1993,..,Yukon,Territorial Government,Hospitals,24549868,809,,
1994,..,Yukon,Territorial Government,Hospitals,25550574,861,,
1995,..,Yukon,Territorial Government,Hospitals,24737181,813,,
1996,..,Yukon,Territorial Government,Hospitals,24949695,795,,
1997,..,Yukon,Territorial Government,Hospitals,24383465,767,,
1998,..,Yukon,Territorial Government,Hospitals,24022533,771,,
1999,..,Yukon,Territorial Government,Hospitals,24622342,800,,
2000,..,Yukon,Territorial Government,Hospitals,25584917,841,,
2001,..,Yukon,Territorial Government,Hospitals,26920992,893,,
2002,..,Yukon,Territorial Government,Hospitals,28627909,944,,
2003,..,Yukon,Territorial Government,Hospitals,32100812,1037,,
2004,..,Yukon,Territorial Government,Hospitals,34271868,1090,,
2005,..,Yukon,Territorial Government,Hospitals,37621940,1179,,
2006,..,Yukon,Territorial Government,Hospitals,45870658,1421,,
2007,..,Yukon,Territorial Government,Hospitals,46497730,1428,,
2008,..,Yukon,Territorial Government,Hospitals,48688446,1472,,
2009,..,Yukon,Territorial Government,Hospitals,53276787,1579,,
2010,..,Yukon,Territorial Government,Hospitals,65857000,1904,,
2011,..,Yukon,Territorial Government,Hospitals,68825823,1944,,
2012,..,Yukon,Territorial Government,Hospitals,72410686,1998,,
2013,..,Yukon,Territorial Government,Hospitals,82522192,2260,,
2014,..,Yukon,Territorial Government,Hospitals,87469563,2355,,
2015,..,Yukon,Territorial Government,Hospitals,92668020,2459,,
2016,..,Yukon,Territorial Government,Hospitals,97186323,2521,,
2017,..,Yukon,Territorial Government,Hospitals,101466258,2558,,
2018,..,Yukon,Territorial Government,Hospitals,103945985,2559,,
2019,..,Yukon,Territorial Government,Hospitals,110911305,2674,,
2020,f,Yukon,Territorial Government,Hospitals,112340047,2671,,
2021,f,Yukon,Territorial Government,Hospitals,116923185,2760,,
1975,..,Yukon,Territorial Government,Other Institutions,546250,25,,
1976,..,Yukon,Territorial Government,Other Institutions,596250,27,,
1977,..,Yukon,Territorial Government,Other Institutions,543500,24,,
1978,..,Yukon,Territorial Government,Other Institutions,560000,24,,
1979,..,Yukon,Territorial Government,Other Institutions,569750,25,,
1980,..,Yukon,Territorial Government,Other Institutions,674750,29,,
1981,..,Yukon,Territorial Government,Other Institutions,773000,32,,
1982,..,Yukon,Territorial Government,Other Institutions,884750,36,,
1983,..,Yukon,Territorial Government,Other Institutions,967500,41,,
1984,..,Yukon,Territorial Government,Other Institutions,1096000,46,,
1985,..,Yukon,Territorial Government,Other Institutions,1222250,50,,
1986,..,Yukon,Territorial Government,Other Institutions,1471750,60,,
1987,..,Yukon,Territorial Government,Other Institutions,1716750,67,,
1988,..,Yukon,Territorial Government,Other Institutions,1906750,72,,
1989,..,Yukon,Territorial Government,Other Institutions,2014000,74,,
1990,..,Yukon,Territorial Government,Other Institutions,2391250,86,,
1991,..,Yukon,Territorial Government,Other Institutions,2975750,103,,
1992,..,Yukon,Territorial Government,Other Institutions,3548797,118,,
1993,..,Yukon,Territorial Government,Other Institutions,4901429,162,,
1994,..,Yukon,Territorial Government,Other Institutions,6672671,225,,
1995,..,Yukon,Territorial Government,Other Institutions,7121382,234,,
1996,..,Yukon,Territorial Government,Other Institutions,7378618,235,,
1997,..,Yukon,Territorial Government,Other Institutions,7805892,245,,
1998,..,Yukon,Territorial Government,Other Institutions,8163866,262,,
1999,..,Yukon,Territorial Government,Other Institutions,8959898,291,,
2000,..,Yukon,Territorial Government,Other Institutions,9613672,316,,
2001,..,Yukon,Territorial Government,Other Institutions,10347799,343,,
2002,..,Yukon,Territorial Government,Other Institutions,12139830,400,,
2003,..,Yukon,Territorial Government,Other Institutions,12905526,417,,
2004,..,Yukon,Territorial Government,Other Institutions,14475521,460,,
2005,..,Yukon,Territorial Government,Other Institutions,16707473,524,,
2006,..,Yukon,Territorial Government,Other Institutions,17561558,544,,
2007,..,Yukon,Territorial Government,Other Institutions,19098766,587,,
2008,..,Yukon,Territorial Government,Other Institutions,20544178,621,,
2009,..,Yukon,Territorial Government,Other Institutions,22136077,656,,
2010,..,Yukon,Territorial Government,Other Institutions,23549343,681,,
2011,..,Yukon,Territorial Government,Other Institutions,25742146,727,,
2012,..,Yukon,Territorial Government,Other Institutions,29052654,802,,
2013,..,Yukon,Territorial Government,Other Institutions,31484004,862,,
2014,..,Yukon,Territorial Government,Other Institutions,32220551,868,,
2015,..,Yukon,Territorial Government,Other Institutions,33145683,879,,
2016,..,Yukon,Territorial Government,Other Institutions,35711558,926,,
2017,..,Yukon,Territorial Government,Other Institutions,38331214,966,,
2018,..,Yukon,Territorial Government,Other Institutions,49479858,1218,,
2019,..,Yukon,Territorial Government,Other Institutions,61349785,1479,,
2020,f,Yukon,Territorial Government,Other Institutions,70120939,1667,,
2021,f,Yukon,Territorial Government,Other Institutions,73425481,1733,,
1975,..,Yukon,Territorial Government,Physicians,1446750,66,,
1976,..,Yukon,Territorial Government,Physicians,1796250,80,,
1977,..,Yukon,Territorial Government,Physicians,2037000,91,,
1978,..,Yukon,Territorial Government,Physicians,2407500,104,,
1979,..,Yukon,Territorial Government,Physicians,2744750,119,,
1980,..,Yukon,Territorial Government,Physicians,2872000,125,,
1981,..,Yukon,Territorial Government,Physicians,3477750,146,,
1982,..,Yukon,Territorial Government,Physicians,4089500,166,,
1983,..,Yukon,Territorial Government,Physicians,4417000,187,,
1984,..,Yukon,Territorial Government,Physicians,4747000,198,,
1985,..,Yukon,Territorial Government,Physicians,4933500,202,,
1986,..,Yukon,Territorial Government,Physicians,5348500,219,,
1987,..,Yukon,Territorial Government,Physicians,5814250,226,,
1988,..,Yukon,Territorial Government,Physicians,6421250,241,,
1989,..,Yukon,Territorial Government,Physicians,7276000,268,,
1990,..,Yukon,Territorial Government,Physicians,7966500,285,,
1991,..,Yukon,Territorial Government,Physicians,8856500,307,,
1992,..,Yukon,Territorial Government,Physicians,9600577,319,,
1993,..,Yukon,Territorial Government,Physicians,9455380,312,,
1994,..,Yukon,Territorial Government,Physicians,9680741,326,,
1995,..,Yukon,Territorial Government,Physicians,9919291,326,,
1996,..,Yukon,Territorial Government,Physicians,10630987,339,,
1997,..,Yukon,Territorial Government,Physicians,11138938,350,,
1998,..,Yukon,Territorial Government,Physicians,11211305,360,,
1999,..,Yukon,Territorial Government,Physicians,11366325,369,,
2000,..,Yukon,Territorial Government,Physicians,11802035,388,,
2001,..,Yukon,Territorial Government,Physicians,12581408,417,,
2002,..,Yukon,Territorial Government,Physicians,14655151,483,,
2003,..,Yukon,Territorial Government,Physicians,15708798,508,,
2004,..,Yukon,Territorial Government,Physicians,17697383,563,,
2005,..,Yukon,Territorial Government,Physicians,18634786,584,,
2006,..,Yukon,Territorial Government,Physicians,21390230,663,,
2007,..,Yukon,Territorial Government,Physicians,20269925,623,,
2008,..,Yukon,Territorial Government,Physicians,22522272,681,,
2009,..,Yukon,Territorial Government,Physicians,24917161,739,,
2010,..,Yukon,Territorial Government,Physicians,28812279,833,,
2011,..,Yukon,Territorial Government,Physicians,30062892,849,,
2012,..,Yukon,Territorial Government,Physicians,32577107,899,,
2013,..,Yukon,Territorial Government,Physicians,35008004,959,,
2014,..,Yukon,Territorial Government,Physicians,37755068,1017,,
2015,..,Yukon,Territorial Government,Physicians,39812064,1056,,
2016,..,Yukon,Territorial Government,Physicians,43751507,1135,,
2017,..,Yukon,Territorial Government,Physicians,45766153,1154,,
2018,..,Yukon,Territorial Government,Physicians,47339629,1166,,
2019,..,Yukon,Territorial Government,Physicians,51322566,1237,,
2020,f,Yukon,Territorial Government,Physicians,51300121,1220,,
2021,f,Yukon,Territorial Government,Physicians,54060865,1276,,
1975,..,Yukon,Territorial Government,Other Professionals,12750,1,,
1976,..,Yukon,Territorial Government,Other Professionals,15250,1,,
1977,..,Yukon,Territorial Government,Other Professionals,12250,1,,
1978,..,Yukon,Territorial Government,Other Professionals,157250,7,,
1979,..,Yukon,Territorial Government,Other Professionals,230750,10,,
1980,..,Yukon,Territorial Government,Other Professionals,200000,9,,
1981,..,Yukon,Territorial Government,Other Professionals,294250,12,,
1982,..,Yukon,Territorial Government,Other Professionals,426000,17,,
1983,..,Yukon,Territorial Government,Other Professionals,527750,22,,
1984,..,Yukon,Territorial Government,Other Professionals,588500,25,,
1985,..,Yukon,Territorial Government,Other Professionals,392730,16,,
1986,..,Yukon,Territorial Government,Other Professionals,191077,8,,
1987,..,Yukon,Territorial Government,Other Professionals,455250,18,,
1988,..,Yukon,Territorial Government,Other Professionals,584250,22,,
1989,..,Yukon,Territorial Government,Other Professionals,595250,22,,
1990,..,Yukon,Territorial Government,Other Professionals,587000,21,,
1991,..,Yukon,Territorial Government,Other Professionals,687807,24,,
1992,..,Yukon,Territorial Government,Other Professionals,765359,25,,
1993,..,Yukon,Territorial Government,Other Professionals,801481,26,,
1994,..,Yukon,Territorial Government,Other Professionals,906382,31,,
1995,..,Yukon,Territorial Government,Other Professionals,916377,30,,
1996,..,Yukon,Territorial Government,Other Professionals,887554,28,,
1997,..,Yukon,Territorial Government,Other Professionals,1128703,35,,
1998,..,Yukon,Territorial Government,Other Professionals,1153722,37,,
1999,..,Yukon,Territorial Government,Other Professionals,1352662,44,,
2000,..,Yukon,Territorial Government,Other Professionals,1481414,49,,
2001,..,Yukon,Territorial Government,Other Professionals,1472695,49,,
2002,..,Yukon,Territorial Government,Other Professionals,1407094,46,,
2003,..,Yukon,Territorial Government,Other Professionals,1465622,47,,
2004,..,Yukon,Territorial Government,Other Professionals,1551352,49,,
2005,..,Yukon,Territorial Government,Other Professionals,1726526,54,,
2006,..,Yukon,Territorial Government,Other Professionals,1761492,55,,
2007,..,Yukon,Territorial Government,Other Professionals,1725194,53,,
2008,..,Yukon,Territorial Government,Other Professionals,1896220,57,,
2009,..,Yukon,Territorial Government,Other Professionals,1944046,58,,
2010,..,Yukon,Territorial Government,Other Professionals,2114272,61,,
2011,..,Yukon,Territorial Government,Other Professionals,2280659,64,,
2012,..,Yukon,Territorial Government,Other Professionals,2267897,63,,
2013,..,Yukon,Territorial Government,Other Professionals,2291550,63,,
2014,..,Yukon,Territorial Government,Other Professionals,2562282,69,,
2015,..,Yukon,Territorial Government,Other Professionals,2629281,70,,
2016,..,Yukon,Territorial Government,Other Professionals,2951657,77,,
2017,..,Yukon,Territorial Government,Other Professionals,3120773,79,,
2018,..,Yukon,Territorial Government,Other Professionals,3264978,80,,
2019,..,Yukon,Territorial Government,Other Professionals,3639212,88,,
2020,f,Yukon,Territorial Government,Other Professionals,3234490,77,,
2021,f,Yukon,Territorial Government,Other Professionals,4059120,96,,
1975,..,Yukon,Territorial Government,Drugs,32750,1,,
1976,..,Yukon,Territorial Government,Drugs,32750,1,,
1977,..,Yukon,Territorial Government,Drugs,20750,1,,
1978,..,Yukon,Territorial Government,Drugs,23750,1,,
1979,..,Yukon,Territorial Government,Drugs,10250,0,,
1980,..,Yukon,Territorial Government,Drugs,17000,1,,
1981,..,Yukon,Territorial Government,Drugs,69000,3,,
1982,..,Yukon,Territorial Government,Drugs,180250,7,,
1983,..,Yukon,Territorial Government,Drugs,239000,10,,
1984,..,Yukon,Territorial Government,Drugs,214250,9,,
1985,..,Yukon,Territorial Government,Drugs,212795,9,,
1986,..,Yukon,Territorial Government,Drugs,327015,13,,
1987,..,Yukon,Territorial Government,Drugs,740503,29,,
1988,..,Yukon,Territorial Government,Drugs,1049887,39,,
1989,..,Yukon,Territorial Government,Drugs,1211213,45,,
1990,..,Yukon,Territorial Government,Drugs,1282807,46,,
1991,..,Yukon,Territorial Government,Drugs,1619411,56,,
1992,..,Yukon,Territorial Government,Drugs,2000762,67,,
1993,..,Yukon,Territorial Government,Drugs,2265733,75,,
1994,..,Yukon,Territorial Government,Drugs,2074444,70,,
1995,..,Yukon,Territorial Government,Drugs,1529376,50,,
1996,..,Yukon,Territorial Government,Drugs,1494853,48,,
1997,..,Yukon,Territorial Government,Drugs,1883929,59,,
1998,..,Yukon,Territorial Government,Drugs,2219337,71,,
1999,..,Yukon,Territorial Government,Drugs,2704363,88,,
2000,..,Yukon,Territorial Government,Drugs,3282708,108,,
2001,..,Yukon,Territorial Government,Drugs,3864162,128,,
2002,..,Yukon,Territorial Government,Drugs,4545956,150,,
2003,..,Yukon,Territorial Government,Drugs,5095910,165,,
2004,..,Yukon,Territorial Government,Drugs,5859857,186,,
2005,..,Yukon,Territorial Government,Drugs,6508439,204,,
2006,..,Yukon,Territorial Government,Drugs,7175361,222,,
2007,..,Yukon,Territorial Government,Drugs,6965007,214,,
2008,..,Yukon,Territorial Government,Drugs,7642142,231,,
2009,..,Yukon,Territorial Government,Drugs,8062740,239,,
2010,..,Yukon,Territorial Government,Drugs,7807088,226,,
2011,..,Yukon,Territorial Government,Drugs,8548473,241,,
2012,..,Yukon,Territorial Government,Drugs,8819582,243,,
2013,..,Yukon,Territorial Government,Drugs,7903987,216,,
2014,..,Yukon,Territorial Government,Drugs,7919551,213,,
2015,..,Yukon,Territorial Government,Drugs,10433803,277,,
2016,..,Yukon,Territorial Government,Drugs,10322017,268,,
2017,..,Yukon,Territorial Government,Drugs,10261919,259,,
2018,..,Yukon,Territorial Government,Drugs,11509834,283,,
2019,..,Yukon,Territorial Government,Drugs,11654258,281,,
2020,f,Yukon,Territorial Government,Drugs,11459448,273,,
2021,f,Yukon,Territorial Government,Drugs,9690464,229,,
1975,..,Yukon,Territorial Government,Public Health,704750,32,,
1976,..,Yukon,Territorial Government,Public Health,835750,37,,
1977,..,Yukon,Territorial Government,Public Health,883250,39,,
1978,..,Yukon,Territorial Government,Public Health,1011500,44,,
1979,..,Yukon,Territorial Government,Public Health,997250,43,,
1980,..,Yukon,Territorial Government,Public Health,1004500,44,,
1981,..,Yukon,Territorial Government,Public Health,1221500,51,,
1982,..,Yukon,Territorial Government,Public Health,1183750,48,,
1983,..,Yukon,Territorial Government,Public Health,1475000,62,,
1984,..,Yukon,Territorial Government,Public Health,1980000,83,,
1985,..,Yukon,Territorial Government,Public Health,2867250,118,,
1986,..,Yukon,Territorial Government,Public Health,3470750,142,,
1987,..,Yukon,Territorial Government,Public Health,3208500,125,,
1988,..,Yukon,Territorial Government,Public Health,3631000,136,,
1989,..,Yukon,Territorial Government,Public Health,3582250,132,,
1990,..,Yukon,Territorial Government,Public Health,3734500,134,,
1991,..,Yukon,Territorial Government,Public Health,4599250,159,,
1992,..,Yukon,Territorial Government,Public Health,4668957,155,,
1993,..,Yukon,Territorial Government,Public Health,4231673,139,,
1994,..,Yukon,Territorial Government,Public Health,5146583,173,,
1995,..,Yukon,Territorial Government,Public Health,5612324,184,,
1996,..,Yukon,Territorial Government,Public Health,5792885,185,,
1997,..,Yukon,Territorial Government,Public Health,12078492,380,,
1998,..,Yukon,Territorial Government,Public Health,14801051,475,,
1999,..,Yukon,Territorial Government,Public Health,15633499,508,,
2000,..,Yukon,Territorial Government,Public Health,16311437,536,,
2001,..,Yukon,Territorial Government,Public Health,17025171,565,,
2002,..,Yukon,Territorial Government,Public Health,18132254,598,,
2003,..,Yukon,Territorial Government,Public Health,19051696,616,,
2004,..,Yukon,Territorial Government,Public Health,20333692,646,,
2005,..,Yukon,Territorial Government,Public Health,21340291,669,,
2006,..,Yukon,Territorial Government,Public Health,23579015,731,,
2007,..,Yukon,Territorial Government,Public Health,27502778,845,,
2008,..,Yukon,Territorial Government,Public Health,32959664,996,,
2009,..,Yukon,Territorial Government,Public Health,41194769,1221,,
2010,..,Yukon,Territorial Government,Public Health,35020039,1012,,
2011,..,Yukon,Territorial Government,Public Health,33091830,935,,
2012,..,Yukon,Territorial Government,Public Health,32435694,895,,
2013,..,Yukon,Territorial Government,Public Health,33675448,922,,
2014,..,Yukon,Territorial Government,Public Health,29915720,806,,
2015,..,Yukon,Territorial Government,Public Health,30227557,802,,
2016,..,Yukon,Territorial Government,Public Health,40468607,1050,,
2017,..,Yukon,Territorial Government,Public Health,46183471,1164,,
2018,..,Yukon,Territorial Government,Public Health,43979877,1083,,
2019,..,Yukon,Territorial Government,Public Health,44456788,1072,,
2020,f,Yukon,Territorial Government,Public Health,44085807,1048,,
2021,f,Yukon,Territorial Government,Public Health,47608174,1124,,
1975,..,Yukon,Territorial Government,Administration,196750,9,,
1976,..,Yukon,Territorial Government,Administration,318250,14,,
1977,..,Yukon,Territorial Government,Administration,451500,20,,
1978,..,Yukon,Territorial Government,Administration,400500,17,,
1979,..,Yukon,Territorial Government,Administration,421000,18,,
1980,..,Yukon,Territorial Government,Administration,435500,19,,
1981,..,Yukon,Territorial Government,Administration,519000,22,,
1982,..,Yukon,Territorial Government,Administration,479500,19,,
1983,..,Yukon,Territorial Government,Administration,484000,20,,
1984,..,Yukon,Territorial Government,Administration,572500,24,,
1985,..,Yukon,Territorial Government,Administration,508250,21,,
1986,..,Yukon,Territorial Government,Administration,1119250,46,,
1987,..,Yukon,Territorial Government,Administration,1308250,51,,
1988,..,Yukon,Territorial Government,Administration,1154500,43,,
1989,..,Yukon,Territorial Government,Administration,1256750,46,,
1990,..,Yukon,Territorial Government,Administration,1564250,56,,
1991,..,Yukon,Territorial Government,Administration,1713375,59,,
1992,..,Yukon,Territorial Government,Administration,2058087,68,,
1993,..,Yukon,Territorial Government,Administration,1730493,57,,
1994,..,Yukon,Territorial Government,Administration,1772193,60,,
1995,..,Yukon,Territorial Government,Administration,2076256,68,,
1996,..,Yukon,Territorial Government,Administration,2148469,68,,
1997,..,Yukon,Territorial Government,Administration,2431134,76,,
1998,..,Yukon,Territorial Government,Administration,2477022,80,,
1999,..,Yukon,Territorial Government,Administration,2594400,84,,
2000,..,Yukon,Territorial Government,Administration,2673910,88,,
2001,..,Yukon,Territorial Government,Administration,2781469,92,,
2002,..,Yukon,Territorial Government,Administration,2985606,98,,
2003,..,Yukon,Territorial Government,Administration,2931010,95,,
2004,..,Yukon,Territorial Government,Administration,2926988,93,,
2005,..,Yukon,Territorial Government,Administration,3182727,100,,
2006,..,Yukon,Territorial Government,Administration,3518818,109,,
2007,..,Yukon,Territorial Government,Administration,3685874,113,,
2008,..,Yukon,Territorial Government,Administration,4182390,126,,
2009,..,Yukon,Territorial Government,Administration,5263714,156,,
2010,..,Yukon,Territorial Government,Administration,5425906,157,,
